rho,region,predictability,psr_score,interpretation
0.4,atlanta,0.538928,0.9513836335443291,HIGH
0.4,richmond,0.577616,0.7794669220049079,HIGH
0.4,memphis,0.600392,0.682632511504455,MODERATE-HIGH
0.4,charlotte,0.5954,0.686884537480231,MODERATE-HIGH
0.4,lehigh_valley,0.61412,0.42115594617567514,MODERATE
0.4,maine,0.62348,0.24226022992662385,LOW
0.5,atlanta,0.5700200000000001,0.953560073544329,HIGH
0.5,richmond,0.61094,0.7817996020049078,HIGH
0.5,memphis,0.6350300000000001,0.685057171504455,MODERATE-HIGH
0.5,charlotte,0.62975,0.6892890374802311,MODERATE-HIGH
0.5,lehigh_valley,0.6495500000000001,0.4236360461756752,MODERATE
0.5,maine,0.6594500000000001,0.24477812992662384,LOW
0.6,atlanta,0.6011120000000001,0.9557365135443291,HIGH
0.6,richmond,0.6442640000000001,0.7841322820049079,HIGH
0.6,memphis,0.6696680000000002,0.6874818315044551,MODERATE-HIGH
0.6,charlotte,0.6641000000000001,0.6916935374802311,MODERATE-HIGH
0.6,lehigh_valley,0.6849800000000001,0.42611614617567517,MODERATE
0.6,maine,0.6954200000000001,0.24729602992662386,LOW
0.7,atlanta,0.632204,0.957912953544329,HIGH
0.7,richmond,0.677588,0.7864649620049079,HIGH
0.7,memphis,0.704306,0.689906491504455,MODERATE-HIGH
0.7,charlotte,0.69845,0.694098037480231,MODERATE-HIGH
0.7,lehigh_valley,0.72041,0.42859624617567516,MODERATE
0.7,maine,0.73139,0.24981392992662385,LOW
0.8,atlanta,0.663296,0.9600893935443291,HIGH
0.8,richmond,0.710912,0.7887976420049079,HIGH
0.8,memphis,0.738944,0.692331151504455,MODERATE-HIGH
0.8,charlotte,0.7328,0.696502537480231,MODERATE-HIGH
0.8,lehigh_valley,0.7558400000000001,0.4310763461756752,MODERATE
0.8,maine,0.76736,0.25233182992662384,LOW
