region,n_observations,uniqueness_rate,n_cameras
atlanta,1,0.8585786437626904,2273
atlanta,2,0.98,2273
atlanta,3,0.995,2273
atlanta,4,0.995,2273
atlanta,5,0.995,2273
atlanta,6,0.995,2273
richmond,1,0.47084973778708183,691
richmond,2,0.72,691
richmond,3,0.8518379265803829,691
richmond,4,0.9216,691
richmond,5,0.9585146194425072,691
richmond,6,0.978048,691
memphis,1,0.434314575050762,413
memphis,2,0.68,413
memphis,3,0.8189806640162438,413
memphis,4,0.8976000000000001,413
memphis,5,0.9420738124851981,413
memphis,6,0.967232,413
charlotte,1,0.37550020016016017,355
charlotte,2,0.61,355
charlotte,3,0.7564450780624624,355
charlotte,4,0.8479,355
charlotte,5,0.9050135804443603,355
charlotte,6,0.940681,355
lehigh_valley,1,0.3071796769724491,123
lehigh_valley,2,0.52,123
lehigh_valley,3,0.6674462449467755,123
lehigh_valley,4,0.7696000000000001,123
lehigh_valley,5,0.8403741975744523,123
lehigh_valley,6,0.889408,123
maine,1,0.21897503240933458,47
maine,2,0.39,47
maine,3,0.5235747697696941,47
maine,4,0.6279,47
maine,5,0.7093806095595134,47
maine,6,0.773019,47
